trial,agent,k,sil
90,dbscan,5,0.3237586808878782
91,human,2,0.18768254170115764
91,gmm,8,0.1764587343188977
91,dbscan,1,
92,human,3,0.3997496403981323
92,gmm,1,
92,dbscan,8,0.5301665326556435
93,human,8,0.20843664962389924
93,gmm,1,
93,dbscan,1,
94,human,2,0.554004737709732
94,gmm,8,0.315785373329594
94,dbscan,4,0.5925424728757434
95,human,3,0.21563035685432966
95,gmm,1,
95,dbscan,10,0.5050324528639097
96,human,2,0.5128028906730249
96,gmm,1,
96,dbscan,9,0.4302236704918843
97,human,4,0.10221615331991481
97,gmm,1,
97,dbscan,12,0.5132316011450816
98,human,2,0.6274418680760143
98,gmm,8,0.2541787464769895
98,dbscan,3,0.5983035144857154
99,human,3,0.29491461041817874
99,gmm,2,0.4672775860865151
99,dbscan,10,0.3827624031689932
100,human,3,0.34570680443908586
100,gmm,8,0.3674288906039226
100,dbscan,5,0.48712800898114705
101,human,4,0.15316530260790495
101,gmm,1,
101,dbscan,6,0.2007451274969363
102,human,2,0.4238145071473561
102,gmm,1,
102,dbscan,2,0.12888205544791959
103,human,2,0.49938494895618024
103,gmm,1,
103,dbscan,5,0.19469245700237778
104,human,2,0.3654584292075174
104,gmm,1,
104,dbscan,7,0.25614991394562686
105,human,2,0.48960685633852685
105,gmm,1,
105,dbscan,4,0.2494233727840936
106,human,2,0.6084622564107512
106,gmm,8,0.4854280401923078
106,dbscan,5,0.41192148521366845
107,human,3,0.297527039579024
107,gmm,8,0.21240622087334698
107,dbscan,1,
108,human,3,0.11710114720438108
108,gmm,1,
108,dbscan,5,0.25001774478351807
109,human,2,0.5048096952100042
109,gmm,8,0.4629110079924554
109,dbscan,4,0.6376286111759258
110,human,4,-0.026217685151337045
110,gmm,8,0.391142968296422
110,dbscan,3,0.11787876231126716
111,human,4,0.48238280033155745
111,gmm,8,0.4497582449614434
111,dbscan,6,0.40489335189054154
112,human,3,0.2060810296102102
112,gmm,8,0.10645946299859359
112,dbscan,2,0.31781281284144763
113,human,3,0.07087465828919791
113,gmm,8,0.2268396540761116
113,dbscan,1,
114,human,3,0.5339014193383897
114,gmm,8,0.27378580651216583
114,dbscan,4,0.6976565449294931
115,human,2,0.3957053071698221
115,gmm,8,0.41181654415281255
115,dbscan,1,
116,human,4,0.6242746886056378
116,gmm,8,0.3674288906039226
116,dbscan,5,0.48712800898114705
117,human,3,0.5934788336231392
117,gmm,8,0.33779716799515996
117,dbscan,5,0.4706866209886451
118,human,4,0.4028595427797943
118,gmm,8,0.36901405786813773
118,dbscan,5,0.3761462634265349
119,human,4,0.3139626183168171
119,gmm,8,0.391142968296422
119,dbscan,3,0.11787876231126716
120,human,3,0.36513380909419924
120,gmm,8,0.33216596406146603
120,dbscan,2,0.1676087672262985
121,human,4,0.5505846140513749
121,gmm,8,0.3224844024675161
121,dbscan,3,0.6443316798728668
122,human,9,0.26031636682790965
122,gmm,8,0.4629110079924554
122,dbscan,4,0.6376286111759258
123,human,4,0.4773000720864542
123,gmm,8,0.315785373329594
123,dbscan,4,0.5925424728757434
124,human,2,0.2242446804656227
124,gmm,8,0.21240622087334698
124,dbscan,1,
125,human,3,0.3522009810626453
125,gmm,8,0.3618331591602254
125,dbscan,4,0.6361145763694069
126,human,2,0.2772478369124037
126,gmm,7,0.42048053002816743
126,dbscan,2,0.3468107680518694
127,human,3,0.6714643707196752
127,gmm,8,0.25537479528681467
127,dbscan,4,0.5168514391285018
128,human,2,0.41819976739248493
128,gmm,8,0.1764587343188977
128,dbscan,1,
129,human,4,0.5509240940872482
129,gmm,8,0.4854280401923078
129,dbscan,5,0.41192148521366845
130,human,4,0.28854359816991015
130,gmm,8,0.36641621587983275
